accuracy,f1_score,recall,precision,roc_auc,mcc,seed,identity
0.8567418884023802,0.776610644257703,0.7161769454310624,0.8481835564053537,0.9096624516424477,0.6774863807774495,0,40
0.8531492084877063,0.769961308476961,0.706813044882144,0.8455001931247585,0.9093096589503917,0.6691146253344017,1,40
0.8541596497137083,0.7715843151046246,0.7084275104940265,0.8471042471042471,0.9099332983949265,0.6714534874726905,2,40
0.8571909733917144,0.7779329608938547,0.7194058766548272,0.846826301786393,0.9089353585753134,0.6785762718606785,3,40
0.8553946334343775,0.7759220598469032,0.7200516628995802,0.8411920030177291,0.9095660005212973,0.6745370824037406,4,40
0.8740659741206488,0.779725852725534,0.7486991123354759,0.8134353175922847,0.9086256758620724,0.6929322952099116,0,60
0.8738837251685803,0.7795476266326856,0.7490052035506581,0.8126868150116241,0.9070823319440279,0.6925605508112469,1,60
0.8739748496446146,0.7791087685673215,0.7465564738292011,0.814629258517034,0.907603981751451,0.6924687800787779,2,60
0.8742482230727173,0.7799744897959184,0.7486991123354759,0.8139767054908486,0.9060128396269094,0.693341957716554,3,60
0.87515946783306,0.7808,0.7468625650443832,0.817968488099229,0.9081197734488131,0.6951815455563021,4,60
0.8574031453778289,0.7638558043512784,0.7036278525453482,0.8353594998263286,0.8981854059527099,0.6677955932501609,0,80
0.8569236670502494,0.7631746031746032,0.7033352837916911,0.8341429562803608,0.8971700337810484,0.6666745675559412,1,80
0.8574990410433448,0.764873417721519,0.7071386775892334,0.8328738800827016,0.8969253361201793,0.6681932673798655,2,80
0.8571154583812811,0.7641658752769864,0.7062609713282622,0.8324137931034483,0.902782721164866,0.667265886401637,3,80
0.8551975450709628,0.7603935258648047,0.7009947337624342,0.8307905686546463,0.8965829346857995,0.6625784716555582,4,80